"site","utterance","goal","true_state","goal_prob","subid"
"US","bad","mean","3",0.925,"5"
"US","okay","mean","3",0.5,"5"
"US","bad","mean","5",0.975,"5"
"US","okay","mean","5",0.5,"5"
"US","terrible","mean","5",0.975,"5"
"US","okay","mean","4",0.275,"5"
"US","okay","mean","1",0.05,"5"
"US","bad","mean","2",0.225,"5"
"US","bad","mean","1",0.25,"5"
"US","good","mean","5",0,"5"
"US","good","mean","4",0.025,"5"
"US","terrible","mean","1",0.5,"5"
"US","good","mean","1",0,"5"
"US","amazing","mean","3",0.05,"5"
"US","terrible","mean","4",0.75,"5"
"US","good","mean","2",0.05,"5"
"US","amazing","mean","4",0.025,"5"
"US","good","mean","3",0.075,"5"
"US","bad","mean","4",0.975,"5"
"US","amazing","mean","5",0.025,"5"
"US","terrible","mean","2",0.8,"5"
"US","amazing","mean","2",0.025,"5"
"US","amazing","mean","1",0,"5"
"US","terrible","mean","3",0.7,"5"
"US","okay","mean","2",0.025,"5"
"US","okay","nice","4",0.5,"8"
"US","bad","nice","1",0.075,"8"
"US","terrible","nice","2",0.225,"8"
"US","amazing","nice","2",0.95,"8"
"US","amazing","nice","5",0.975,"8"
"US","bad","nice","3",0.5,"8"
"US","amazing","nice","4",0.95,"8"
"US","good","nice","3",0.5,"8"
"US","terrible","nice","3",0.05,"8"
"US","good","nice","2",0.95,"8"
"US","bad","nice","5",0.075,"8"
"US","okay","nice","1",0.95,"8"
"US","terrible","nice","1",0.05,"8"
"US","amazing","nice","1",1,"8"
"US","good","nice","4",0.725,"8"
"US","terrible","nice","4",0.025,"8"
"US","good","nice","1",0.975,"8"
"US","good","nice","5",0.975,"8"
"US","bad","nice","2",0,"8"
"US","bad","nice","4",0,"8"
"US","okay","nice","3",0.275,"8"
"US","okay","nice","2",0,"8"
"US","amazing","nice","3",1,"8"
"US","okay","nice","5",0.025,"8"
"US","terrible","nice","5",0,"8"
"US","amazing","mean","5",0.225,"9"
"US","bad","mean","3",0.5,"9"
"US","okay","mean","3",0.475,"9"
"US","amazing","mean","3",0.5,"9"
"US","okay","mean","2",0.65,"9"
"US","terrible","mean","2",0.775,"9"
"US","okay","mean","4",0.525,"9"
"US","good","mean","3",0.275,"9"
"US","terrible","mean","4",0.65,"9"
"US","amazing","mean","2",0.225,"9"
"US","good","mean","4",0.3,"9"
"US","terrible","mean","5",0.775,"9"
"US","good","mean","2",0.125,"9"
"US","okay","mean","1",0.325,"9"
"US","amazing","mean","4",0.275,"9"
"US","terrible","mean","3",0.5,"9"
"US","bad","mean","5",0.875,"9"
"US","bad","mean","2",0.825,"9"
"US","terrible","mean","1",0.625,"9"
"US","amazing","mean","1",0.175,"9"
"US","okay","mean","5",0.475,"9"
"US","good","mean","5",0.075,"9"
"US","bad","mean","4",0.6,"9"
"US","bad","mean","1",0.775,"9"
"US","good","mean","1",0.25,"9"
"US","amazing","nice","3",1,"10"
"US","good","nice","1",0.725,"10"
"US","good","nice","2",0.75,"10"
"US","bad","nice","3",0,"10"
"US","amazing","nice","2",1,"10"
"US","okay","nice","3",0.6,"10"
"US","terrible","nice","3",0,"10"
"US","okay","nice","2",0.5,"10"
"US","bad","nice","2",0.325,"10"
"US","amazing","nice","4",0.6,"10"
"US","bad","nice","4",0.05,"10"
"US","good","nice","3",0.575,"10"
"US","okay","nice","1",0.8,"10"
"US","terrible","nice","1",0.05,"10"
"US","terrible","nice","4",0.025,"10"
"US","terrible","nice","5",0.025,"10"
"US","terrible","nice","2",0.2,"10"
"US","bad","nice","1",0.05,"10"
"US","okay","nice","4",0.325,"10"
"US","okay","nice","5",0.125,"10"
"US","bad","nice","5",0.025,"10"
"US","amazing","nice","5",0.775,"10"
"US","good","nice","4",0.575,"10"
"US","good","nice","5",0.55,"10"
"US","amazing","nice","1",1,"10"
"US","okay","honest","5",0.275,"11"
"US","bad","honest","2",1,"11"
"US","amazing","honest","3",0.725,"11"
"US","bad","honest","3",0.2,"11"
"US","bad","honest","5",0,"11"
"US","terrible","honest","3",0.225,"11"
"US","good","honest","5",1,"11"
"US","terrible","honest","5",0,"11"
"US","okay","honest","1",0.775,"11"
"US","good","honest","3",0.65,"11"
"US","amazing","honest","2",0.1,"11"
"US","okay","honest","2",0.625,"11"
"US","bad","honest","4",0.2,"11"
"US","good","honest","2",0.325,"11"
"US","terrible","honest","1",1,"11"
"US","good","honest","1",0.3,"11"
"US","amazing","honest","5",0.825,"11"
"US","okay","honest","4",0.425,"11"
"US","amazing","honest","4",0.775,"11"
"US","terrible","honest","4",0.225,"11"
"US","amazing","honest","1",0.225,"11"
"US","terrible","honest","2",0.45,"11"
"US","okay","honest","3",0.375,"11"
"US","good","honest","4",0.7,"11"
"US","bad","honest","1",0.75,"11"
"US","good","mean","2",0.35,"15"
"US","terrible","mean","3",0.65,"15"
"US","amazing","mean","2",0.65,"15"
"US","amazing","mean","3",0.625,"15"
"US","bad","mean","3",0.675,"15"
"US","bad","mean","4",0.6,"15"
"US","bad","mean","1",0.675,"15"
"US","terrible","mean","2",0.65,"15"
"US","terrible","mean","4",0.65,"15"
"US","good","mean","4",0.625,"15"
"US","amazing","mean","4",0.725,"15"
"US","amazing","mean","1",0.175,"15"
"US","amazing","mean","5",0.95,"15"
"US","bad","mean","2",0.5,"15"
"US","okay","mean","4",0.575,"15"
"US","terrible","mean","5",0.5,"15"
"US","terrible","mean","1",0.275,"15"
"US","okay","mean","3",0.75,"15"
"US","good","mean","1",0.675,"15"
"US","okay","mean","5",0.675,"15"
"US","good","mean","5",1,"15"
"US","okay","mean","1",0.25,"15"
"US","good","mean","3",0.5,"15"
"US","bad","mean","5",0.925,"15"
"US","okay","mean","2",0.325,"15"
"US","terrible","nice","3",0.175,"18"
"US","terrible","nice","4",0.15,"18"
"US","good","nice","1",0.875,"18"
"US","amazing","nice","1",0.925,"18"
"US","amazing","nice","3",0.8,"18"
"US","good","nice","4",0.5,"18"
"US","amazing","nice","4",0.85,"18"
"US","amazing","nice","5",0.875,"18"
"US","okay","nice","2",0.475,"18"
"US","amazing","nice","2",0.9,"18"
"US","bad","nice","2",0.2,"18"
"US","terrible","nice","5",0.125,"18"
"US","good","nice","3",0.7,"18"
"US","bad","nice","3",0.2,"18"
"US","okay","nice","4",0.2,"18"
"US","good","nice","2",0.875,"18"
"US","okay","nice","1",0.8,"18"
"US","okay","nice","3",0.5,"18"
"US","good","nice","5",0.5,"18"
"US","bad","nice","1",0.15,"18"
"US","bad","nice","4",0.125,"18"
"US","okay","nice","5",0.3,"18"
"US","terrible","nice","2",0.2,"18"
"US","terrible","nice","1",0.075,"18"
"US","bad","nice","5",0.1,"18"
"US","okay","mean","4",0.675,"19"
"US","amazing","mean","4",0.25,"19"
"US","good","mean","3",0.225,"19"
"US","amazing","mean","1",0.025,"19"
"US","okay","mean","1",0.225,"19"
"US","okay","mean","2",0.2,"19"
"US","terrible","mean","3",0.8,"19"
"US","bad","mean","1",0.225,"19"
"US","terrible","mean","1",0.5,"19"
"US","bad","mean","5",1,"19"
"US","amazing","mean","5",0.025,"19"
"US","okay","mean","3",0.6,"19"
"US","terrible","mean","4",1,"19"
"US","amazing","mean","2",0.05,"19"
"US","bad","mean","4",0.9,"19"
"US","bad","mean","2",0.6,"19"
"US","good","mean","1",0.075,"19"
"US","terrible","mean","5",0.975,"19"
"US","bad","mean","3",0.8,"19"
"US","good","mean","2",0.2,"19"
"US","good","mean","4",0.225,"19"
"US","terrible","mean","2",0.625,"19"
"US","good","mean","5",0.5,"19"
"US","okay","mean","5",0.75,"19"
"US","amazing","mean","3",0.2,"19"
"US","amazing","mean","4",0.725,"22"
"US","amazing","mean","3",0.775,"22"
"US","good","mean","1",0.9,"22"
"US","terrible","mean","1",0.675,"22"
"US","bad","mean","1",0.75,"22"
"US","good","mean","2",0.75,"22"
"US","okay","mean","2",0.5,"22"
"US","good","mean","5",0.225,"22"
"US","good","mean","4",0.325,"22"
"US","amazing","mean","5",0.225,"22"
"US","terrible","mean","2",0.725,"22"
"US","bad","mean","3",0.925,"22"
"US","okay","mean","3",0.725,"22"
"US","okay","mean","5",0.275,"22"
"US","terrible","mean","3",0.75,"22"
"US","amazing","mean","2",0.7,"22"
"US","bad","mean","5",0.25,"22"
"US","bad","mean","2",0.5,"22"
"US","terrible","mean","4",0.725,"22"
"US","okay","mean","1",0.975,"22"
"US","okay","mean","4",0.3,"22"
"US","good","mean","3",0.2,"22"
"US","terrible","mean","5",0.725,"22"
"US","amazing","mean","1",0.95,"22"
"US","bad","mean","4",0.725,"22"
"US","good","mean","1",0.95,"22"
"US","okay","mean","4",0.65,"22"
"US","okay","mean","5",0.4,"22"
"US","bad","mean","4",0.1,"22"
"US","good","mean","3",0.625,"22"
"US","bad","mean","1",0.075,"22"
"US","amazing","mean","4",0.9,"22"
"US","bad","mean","5",0.025,"22"
"US","amazing","mean","1",0.975,"22"
"US","amazing","mean","2",0.95,"22"
"US","bad","mean","3",0.225,"22"
"US","terrible","mean","2",0.35,"22"
"US","amazing","mean","5",0.825,"22"
"US","terrible","mean","1",0.3,"22"
"US","good","mean","5",0.65,"22"
"US","terrible","mean","3",0.075,"22"
"US","terrible","mean","5",0.175,"22"
"US","good","mean","2",0.65,"22"
"US","okay","mean","2",0.5,"22"
"US","okay","mean","3",0.5,"22"
"US","bad","mean","2",0.225,"22"
"US","terrible","mean","4",0.025,"22"
"US","good","mean","4",0.675,"22"
"US","amazing","mean","3",0.9,"22"
"US","okay","mean","1",0.7,"22"
"US","good","nice","1",0.95,"24"
"US","terrible","nice","1",0.075,"24"
"US","okay","nice","2",0.5,"24"
"US","good","nice","3",0.75,"24"
"US","terrible","nice","5",0.05,"24"
"US","terrible","nice","3",0.25,"24"
"US","okay","nice","1",0.6,"24"
"US","terrible","nice","2",0.3,"24"
"US","amazing","nice","5",1,"24"
"US","good","nice","2",0.7,"24"
"US","okay","nice","5",0.4,"24"
"US","bad","nice","1",0.125,"24"
"US","terrible","nice","4",0.075,"24"
"US","bad","nice","3",0.3,"24"
"US","bad","nice","5",0.1,"24"
"US","good","nice","5",0.5,"24"
"US","bad","nice","4",0.225,"24"
"US","amazing","nice","2",0.825,"24"
"US","amazing","nice","4",0.825,"24"
"US","okay","nice","3",0.5,"24"
"US","good","nice","4",0.625,"24"
"US","amazing","nice","3",0.9,"24"
"US","bad","nice","2",0.3,"24"
"US","okay","nice","4",0.375,"24"
"US","amazing","nice","1",0.95,"24"
"US","good","nice","5",0.975,"26"
"US","bad","nice","3",0.275,"26"
"US","terrible","nice","4",0.1,"26"
"US","terrible","nice","3",0.175,"26"
"US","okay","nice","4",0.275,"26"
"US","amazing","nice","1",0.95,"26"
"US","bad","nice","2",0.15,"26"
"US","amazing","nice","2",0.825,"26"
"US","terrible","nice","5",0.05,"26"
"US","okay","nice","2",0.3,"26"
"US","good","nice","3",0.825,"26"
