"subid","trial","knowledge","true_state","utterance","goal","goal_prob","roundval"
1,1,"unknown","good","terrible","mean",0.925,0.9
1,2,"unknown","terrible","bad","mean",0.15,0.1
1,3,"unknown","good","good","mean",0.05,0.1
1,4,"unknown","amazing","bad","mean",0.975,0.9
1,5,"unknown","bad","amazing","mean",0.05,0.1
1,6,"unknown","bad","bad","mean",0.225,0.3
1,7,"unknown","okay","terrible","mean",0.825,0.9
1,8,"unknown","terrible","good","mean",0.075,0.1
1,9,"unknown","amazing","amazing","mean",0.05,0.1
1,10,"unknown","okay","okay","mean",0.075,0.1
1,11,"unknown","terrible","terrible","mean",0.35,0.3
1,12,"unknown","bad","okay","mean",0.05,0.1
1,13,"unknown","amazing","good","mean",0.725,0.7
1,14,"unknown","terrible","okay","mean",0.2,0.1
1,15,"unknown","good","okay","mean",0.7,0.7
1,16,"unknown","good","amazing","mean",0.05,0.1
1,17,"unknown","amazing","terrible","mean",0.95,0.9
1,18,"unknown","okay","good","mean",0.025,0.1
1,19,"unknown","bad","good","mean",0.075,0.1
1,20,"unknown","bad","terrible","mean",0.25,0.3
1,21,"unknown","amazing","okay","mean",0.65,0.7
1,22,"unknown","good","bad","mean",0.975,0.9
1,23,"unknown","terrible","amazing","mean",0.05,0.1
1,24,"unknown","okay","amazing","mean",0.05,0.1
1,25,"unknown","okay","bad","mean",0.95,0.9
2,1,"unknown","okay","okay","honest",0.95,0.9
2,2,"unknown","amazing","amazing","honest",0.9,0.9
2,3,"unknown","okay","good","honest",0.425,0.5
2,4,"unknown","amazing","okay","honest",0.5,0.5
2,5,"unknown","amazing","good","honest",0.5,0.5
2,6,"unknown","terrible","bad","honest",0.95,0.9
2,7,"unknown","good","amazing","honest",0.4,0.3
2,8,"unknown","good","okay","honest",0.5,0.5
2,9,"unknown","terrible","terrible","honest",0.9,0.9
2,10,"unknown","bad","okay","honest",0.275,0.3
2,11,"unknown","bad","amazing","honest",0.25,0.3
2,12,"unknown","good","good","honest",0.85,0.9
2,13,"unknown","good","bad","honest",0.075,0.1
2,14,"unknown","okay","bad","honest",0.3,0.3
2,15,"unknown","okay","terrible","honest",0.15,0.1
2,16,"unknown","terrible","good","honest",0.3,0.3
2,17,"unknown","terrible","amazing","honest",0.15,0.1
2,18,"unknown","terrible","okay","honest",0.325,0.3
2,19,"unknown","good","terrible","honest",0.225,0.3
2,20,"unknown","amazing","terrible","honest",0.25,0.3
2,21,"unknown","okay","amazing","honest",0.275,0.3
2,22,"unknown","bad","terrible","honest",0.775,0.7
2,23,"unknown","amazing","bad","honest",0.35,0.3
2,24,"unknown","bad","bad","honest",0.9,0.9
2,25,"unknown","bad","good","honest",0.275,0.3
3,1,"unknown","good","terrible","mean",0.775,0.7
3,2,"unknown","okay","good","mean",0.05,0.1
3,3,"unknown","okay","terrible","mean",0.675,0.7
3,4,"unknown","terrible","bad","mean",0.5,0.5
3,5,"unknown","good","good","mean",0.075,0.1
3,6,"unknown","terrible","okay","mean",0,0.1
3,7,"unknown","amazing","amazing","mean",0.025,0.1
3,8,"unknown","okay","amazing","mean",0.075,0.1
3,9,"unknown","bad","terrible","mean",0.25,0.3
3,10,"unknown","terrible","good","mean",0.05,0.1
3,11,"unknown","good","bad","mean",1,0.9
3,12,"unknown","good","okay","mean",0.175,0.1
3,13,"unknown","bad","okay","mean",0.05,0.1
3,14,"unknown","terrible","terrible","mean",0.3,0.3
3,15,"unknown","okay","bad","mean",0.775,0.7
3,16,"unknown","terrible","amazing","mean",0.025,0.1
3,17,"unknown","okay","okay","mean",0.05,0.1
3,18,"unknown","bad","bad","mean",0.45,0.5
3,19,"unknown","amazing","good","mean",0.125,0.1
3,20,"unknown","amazing","bad","mean",0.975,0.9
3,21,"unknown","amazing","terrible","mean",0.95,0.9
3,22,"unknown","bad","good","mean",0.05,0.1
3,23,"unknown","bad","amazing","mean",0.05,0.1
3,24,"unknown","amazing","okay","mean",0.1,0.1
3,25,"unknown","good","amazing","mean",0.075,0.1
5,1,"unknown","okay","okay","nice",0.5,0.5
5,2,"unknown","good","good","nice",1,0.9
5,3,"unknown","amazing","amazing","nice",0.925,0.9
5,4,"unknown","bad","good","nice",0.925,0.9
5,5,"unknown","good","okay","nice",0.5,0.5
5,6,"unknown","amazing","terrible","nice",0,0.1
5,7,"unknown","bad","amazing","nice",0.95,0.9
5,8,"unknown","okay","terrible","nice",0.225,0.3
5,9,"unknown","okay","amazing","nice",0.75,0.7
5,10,"unknown","amazing","good","nice",0.95,0.9
5,11,"unknown","terrible","amazing","nice",0.95,0.9
5,12,"unknown","bad","bad","nice",0.5,0.5
5,13,"unknown","okay","bad","nice",0.25,0.3
5,14,"unknown","okay","good","nice",0.75,0.7
5,15,"unknown","amazing","bad","nice",0.025,0.1
5,16,"unknown","terrible","okay","nice",0.725,0.7
5,17,"unknown","amazing","okay","nice",0.275,0.3
5,18,"unknown","bad","okay","nice",0.75,0.7
5,19,"unknown","terrible","bad","nice",0.5,0.5
5,20,"unknown","bad","terrible","nice",0.25,0.3
5,21,"unknown","good","terrible","nice",0.1,0.1
5,22,"unknown","terrible","terrible","nice",0.25,0.3
5,23,"unknown","terrible","good","nice",0.95,0.9
5,24,"unknown","good","amazing","nice",0.75,0.7
5,25,"unknown","good","bad","nice",0.225,0.3
7,1,"unknown","bad","bad","honest",0.5,0.5
7,2,"unknown","good","good","honest",0.95,0.9
7,3,"unknown","good","amazing","honest",0.25,0.3
7,4,"unknown","terrible","terrible","honest",0.75,0.7
7,5,"unknown","good","okay","honest",0.5,0.5
7,6,"unknown","terrible","bad","honest",0.5,0.5
7,7,"unknown","amazing","good","honest",0.3,0.3
7,8,"unknown","bad","amazing","honest",0.05,0.1
7,9,"unknown","terrible","good","honest",0.025,0.1
7,10,"unknown","amazing","amazing","honest",0.725,0.7
7,11,"unknown","bad","good","honest",0.25,0.3
7,12,"unknown","okay","bad","honest",0.2,0.1
7,13,"unknown","terrible","amazing","honest",0.05,0.1
7,14,"unknown","okay","terrible","honest",0.225,0.3
7,15,"unknown","okay","okay","honest",0.925,0.9
7,16,"unknown","amazing","okay","honest",0.5,0.5
7,17,"unknown","bad","okay","honest",0.25,0.3
7,18,"unknown","good","bad","honest",0.25,0.3
7,19,"unknown","terrible","okay","honest",0.225,0.3
7,20,"unknown","okay","good","honest",0.5,0.5
7,21,"unknown","amazing","terrible","honest",0,0.1
7,22,"unknown","okay","amazing","honest",0.225,0.3
7,23,"unknown","amazing","bad","honest",0.075,0.1
7,24,"unknown","good","terrible","honest",0.2,0.1
7,25,"unknown","bad","terrible","honest",0.775,0.7
7,1,"unknown","terrible","terrible","honest",0.25,0.3
7,2,"unknown","good","terrible","honest",0.25,0.3
7,3,"unknown","good","amazing","honest",0.75,0.7
7,4,"unknown","okay","amazing","honest",0.675,0.7
7,5,"unknown","good","okay","honest",0.75,0.7
7,6,"unknown","amazing","good","honest",0.75,0.7
7,7,"unknown","amazing","amazing","honest",0.75,0.7
7,8,"unknown","bad","terrible","honest",0.275,0.3
7,9,"unknown","terrible","bad","honest",0.275,0.3
7,10,"unknown","good","bad","honest",0.35,0.3
7,11,"unknown","terrible","good","honest",0.75,0.7
7,12,"unknown","amazing","bad","honest",0.275,0.3
7,13,"unknown","bad","amazing","honest",0.65,0.7
7,14,"unknown","terrible","okay","honest",0.8,0.7
7,15,"unknown","okay","bad","honest",0.175,0.1
7,16,"unknown","okay","good","honest",0.725,0.7
7,17,"unknown","amazing","okay","honest",0.75,0.7
7,18,"unknown","bad","okay","honest",0.875,0.9
7,19,"unknown","okay","terrible","honest",0.1,0.1
7,20,"unknown","good","good","honest",0.75,0.7
7,21,"unknown","bad","bad","honest",0.4,0.3
7,22,"unknown","bad","good","honest",0.825,0.9
7,23,"unknown","amazing","terrible","honest",0.225,0.3
7,24,"unknown","terrible","amazing","honest",0.8,0.7
7,25,"unknown","okay","okay","honest",0.725,0.7
8,1,"unknown","terrible","terrible","honest",0.75,0.7
8,2,"unknown","okay","bad","honest",0.075,0.1
8,3,"unknown","good","terrible","honest",0.025,0.1
8,4,"unknown","amazing","good","honest",0.075,0.1
8,5,"unknown","amazing","bad","honest",0.4,0.3
8,6,"unknown","good","okay","honest",0.575,0.5
8,7,"unknown","amazing","terrible","honest",0.3,0.3
8,8,"unknown","good","good","honest",0.575,0.5
8,9,"unknown","bad","terrible","honest",0.45,0.5
8,10,"unknown","bad","okay","honest",0.75,0.7
8,11,"unknown","bad","bad","honest",0.5,0.5
8,12,"unknown","terrible","bad","honest",0.4,0.3
8,13,"unknown","okay","terrible","honest",0.45,0.5
8,14,"unknown","good","bad","honest",0.35,0.3
8,15,"unknown","okay","good","honest",0.65,0.7
8,16,"unknown","amazing","okay","honest",0.625,0.7
8,17,"unknown","amazing","amazing","honest",0.575,0.5
8,18,"unknown","good","amazing","honest",0.65,0.7
8,19,"unknown","okay","amazing","honest",0.625,0.7
8,20,"unknown","okay","okay","honest",0.85,0.9
8,21,"unknown","terrible","good","honest",0.9,0.9
8,22,"unknown","bad","good","honest",0.675,0.7
8,23,"unknown","bad","amazing","honest",0.7,0.7
8,24,"unknown","terrible","okay","honest",0.175,0.1
8,25,"unknown","terrible","amazing","honest",0.275,0.3
10,1,"unknown","terrible","bad","nice",0,0.1
10,2,"unknown","amazing","bad","nice",0.025,0.1
10,3,"unknown","okay","bad","nice",0,0.1
10,4,"unknown","amazing","good","nice",0.85,0.9
10,5,"unknown","terrible","okay","nice",0.975,0.9
10,6,"unknown","bad","amazing","nice",1,0.9
10,7,"unknown","okay","okay","nice",0.75,0.7
