"subid","goal","true_state","positivity","utterance","goal_prob"
"anon-0","social","3","negative","terrible",0
"anon-0","social","5","positive","amazing",0.875
"anon-0","social","2","positive","bad",0.025
"anon-0","social","4","negative","bad",0.15
"anon-0","social","2","positive","okay",0.075
"anon-0","social","3","positive","good",0.6
"anon-0","social","5","negative","okay",0
"anon-0","social","3","negative","bad",0.35
"anon-0","social","1","positive","amazing",1
"anon-0","social","4","positive","okay",0.325
"anon-0","social","1","negative","okay",0.15
"anon-0","social","3","positive","okay",0.4
"anon-0","social","2","positive","terrible",0
"anon-0","social","2","negative","good",0.025
"anon-0","social","4","negative","terrible",0.275
"anon-0","social","3","negative","amazing",0.075
"anon-0","social","1","positive","terrible",0
"anon-0","social","2","negative","amazing",0.075
"anon-0","social","5","negative","good",0.025
"anon-0","social","1","positive","bad",0.025
"anon-0","social","5","negative","bad",0.025
"anon-0","social","5","positive","terrible",0
"anon-0","social","1","negative","good",0.05
"anon-0","social","4","positive","good",0.925
"anon-0","social","4","positive","amazing",0.9
"anon-1","social","2","negative","amazing",0.725
"anon-1","social","1","positive","amazing",1
"anon-1","social","1","positive","bad",0.025
"anon-1","social","5","negative","good",0
"anon-1","social","2","positive","okay",0.7
"anon-1","social","5","negative","bad",0.25
"anon-1","social","4","positive","okay",0.5
"anon-1","social","2","positive","terrible",0
"anon-1","social","1","positive","terrible",0
"anon-1","social","4","positive","good",0.75
"anon-1","social","4","negative","terrible",0.375
"anon-1","social","5","positive","amazing",1
"anon-1","social","4","positive","amazing",1
"anon-1","social","3","negative","bad",0.825
"anon-1","social","4","negative","bad",0.725
"anon-1","social","1","negative","good",0
"anon-1","social","3","negative","amazing",0.5
"anon-1","social","2","negative","good",0.3
"anon-1","social","2","positive","bad",0.325
"anon-1","social","5","positive","terrible",0
"anon-1","social","3","negative","terrible",0.575
"anon-1","social","3","positive","okay",0.5
"anon-1","social","1","negative","okay",0
"anon-1","social","3","positive","good",0.675
"anon-1","social","5","negative","okay",0
"anon-10","social","1","positive","bad",0.075
"anon-10","social","3","positive","good",0.5
"anon-10","social","4","negative","terrible",0.5
"anon-10","social","2","positive","bad",0.225
"anon-10","social","5","negative","good",0
"anon-10","social","2","negative","good",0.175
"anon-10","social","3","negative","terrible",0.35
"anon-10","social","1","positive","terrible",0.075
"anon-10","social","5","positive","amazing",0.95
"anon-10","social","2","positive","terrible",0.15
"anon-10","social","5","negative","bad",0.225
"anon-10","social","5","positive","terrible",0.075
"anon-10","social","4","positive","amazing",0.725
"anon-10","social","5","negative","okay",0.175
"anon-10","social","3","negative","bad",0.325
"anon-10","social","4","positive","okay",0.5
"anon-10","social","3","positive","okay",0.475
"anon-10","social","1","negative","good",0.45
"anon-10","social","2","positive","okay",0.5
"anon-10","social","4","negative","bad",0.325
"anon-10","social","1","positive","amazing",1
"anon-10","social","1","negative","okay",0.6
"anon-10","social","2","negative","amazing",0.5
"anon-10","social","4","positive","good",0.65
"anon-10","social","3","negative","amazing",0.5
"anon-11","social","1","positive","bad",0
"anon-11","social","5","positive","terrible",0
"anon-11","social","1","positive","amazing",1
"anon-11","social","5","negative","good",0
"anon-11","social","4","positive","okay",0.425
"anon-11","social","2","negative","good",0
"anon-11","social","3","positive","okay",0.5
"anon-11","social","5","positive","amazing",1
"anon-11","social","4","positive","good",1
"anon-11","social","2","positive","bad",0
"anon-11","social","5","negative","bad",0.05
"anon-11","social","1","negative","okay",0
"anon-11","social","2","negative","amazing",0.025
"anon-11","social","4","negative","terrible",0
"anon-11","social","1","positive","terrible",0.875
"anon-11","social","2","positive","terrible",0.075
"anon-11","social","4","positive","amazing",1
"anon-11","social","3","negative","amazing",0.15
"anon-11","social","4","negative","bad",0.4
"anon-11","social","3","negative","terrible",0.725
"anon-11","social","5","negative","okay",0
"anon-11","social","1","negative","good",0
"anon-11","social","2","positive","okay",0.35
"anon-11","social","3","positive","good",0.625
"anon-11","social","3","negative","bad",0.575
"anon-12","informative","1","positive","good",0.075
"anon-12","informative","5","positive","good",0.15
"anon-12","informative","2","negative","bad",0.825
"anon-12","informative","5","positive","bad",0
"anon-12","informative","3","positive","amazing",0
"anon-12","informative","3","negative","okay",0.25
"anon-12","informative","3","negative","good",0.325
"anon-12","informative","2","negative","terrible",0.575
"anon-12","informative","2","positive","amazing",0.1
"anon-12","informative","4","positive","terrible",0.3
"anon-12","informative","1","negative","terrible",0.15
"anon-12","informative","4","negative","amazing",0.275
"anon-12","informative","4","negative","good",0.25
"anon-12","informative","3","positive","terrible",0.25
"anon-12","informative","5","negative","amazing",0.025
"anon-12","informative","2","positive","good",0.15
"anon-12","informative","3","positive","bad",0.25
"anon-12","informative","4","positive","bad",0.325
"anon-12","informative","4","negative","okay",0.375
"anon-12","informative","2","negative","okay",0.55
"anon-12","informative","5","negative","terrible",0.4
"anon-12","informative","5","positive","okay",0.475
"anon-12","informative","1","positive","okay",0.325
"anon-12","informative","1","negative","amazing",0.8
"anon-12","informative","1","negative","bad",0.2
"anon-13","social","4","positive","okay",0.1
"anon-13","social","4","negative","terrible",0.075
"anon-13","social","1","negative","good",0
"anon-13","social","2","positive","okay",0.625
"anon-13","social","1","positive","amazing",0.95
"anon-13","social","3","negative","bad",0.8
"anon-13","social","2","positive","bad",0
"anon-13","social","3","negative","amazing",0.125
"anon-13","social","5","negative","okay",0
"anon-13","social","1","positive","terrible",0
"anon-13","social","5","negative","bad",0.35
"anon-13","social","4","positive","amazing",0.975
"anon-13","social","2","negative","amazing",0.15
"anon-13","social","4","negative","bad",0.375
"anon-13","social","3","positive","good",0.975
"anon-13","social","1","positive","bad",0
"anon-13","social","1","negative","okay",0.225
"anon-13","social","3","negative","terrible",0.625
"anon-13","social","4","positive","good",0.775
"anon-13","social","2","positive","terrible",0
"anon-13","social","2","negative","good",0.15
"anon-13","social","3","positive","okay",0.15
"anon-13","social","5","positive","amazing",1
"anon-13","social","5","positive","terrible",0
"anon-13","social","5","negative","good",0
"anon-14","social","3","negative","terrible",0.275
"anon-14","social","2","negative","amazing",0.2
"anon-14","social","3","positive","good",0.225
"anon-14","social","3","negative","amazing",0.3
"anon-14","social","4","positive","good",0.5
"anon-14","social","5","negative","good",0.35
"anon-14","social","2","positive","terrible",0.325
"anon-14","social","1","positive","amazing",0.3
"anon-14","social","5","positive","terrible",0.325
"anon-14","social","3","negative","bad",0.35
"anon-14","social","5","negative","bad",0.3
"anon-14","social","1","negative","okay",0.325
"anon-14","social","4","negative","bad",0.325
"anon-14","social","4","positive","amazing",0.275
"anon-14","social","1","positive","bad",0.275
"anon-14","social","1","positive","terrible",0.65
"anon-14","social","2","negative","good",0.675
"anon-14","social","5","negative","okay",0.45
"anon-14","social","3","positive","okay",0.35
"anon-14","social","4","negative","terrible",0.575
"anon-14","social","2","positive","bad",0.675
"anon-14","social","1","negative","good",0.7
"anon-14","social","5","positive","amazing",0.65
"anon-14","social","2","positive","okay",0.6
"anon-14","social","4","positive","okay",0.425
"anon-15","informative","5","positive","good",0.95
"anon-15","informative","1","negative","terrible",0.2
"anon-15","informative","5","negative","amazing",0.05
"anon-15","informative","3","positive","bad",0.375
"anon-15","informative","2","negative","bad",0.275
"anon-15","informative","2","negative","terrible",0.175
"anon-15","informative","3","positive","amazing",0.3
"anon-15","informative","4","negative","good",0.75
"anon-15","informative","1","negative","amazing",0.875
"anon-15","informative","1","positive","good",0.05
"anon-15","informative","3","negative","okay",0.575
"anon-15","informative","1","positive","okay",0.1
"anon-15","informative","5","positive","bad",0.025
"anon-15","informative","4","negative","okay",0.125
"anon-15","informative","5","negative","terrible",0.1
"anon-15","informative","3","positive","terrible",0.15
"anon-15","informative","2","positive","good",0.075
"anon-15","informative","4","positive","bad",0.025
