"subid","site","state","utterance","judgment"
"13","US","1","terrible",1
"13","US","3","bad",0
"13","US","3","terrible",0
"13","US","3","amazing",0
"13","US","5","good",1
"13","US","4","okay",1
"13","US","5","bad",0
"13","US","4","amazing",1
"13","US","2","okay",0
"13","US","1","amazing",0
"13","US","5","okay",0
"13","US","2","bad",1
"13","US","5","amazing",1
"13","US","1","good",0
"13","US","5","terrible",0
"13","US","4","good",1
"13","US","2","amazing",0
"13","US","1","bad",1
"13","US","4","terrible",0
"13","US","3","good",1
"13","US","3","okay",1
"13","US","1","okay",0
"13","US","4","bad",0
"13","US","2","good",0
"13","US","2","terrible",1
"16","US","1","good",0
"16","US","3","terrible",0
"16","US","2","good",0
"16","US","3","good",0
"16","US","4","amazing",1
"16","US","4","terrible",0
"16","US","4","okay",1
"16","US","1","bad",1
"16","US","5","amazing",1
"16","US","5","good",1
"16","US","1","okay",0
"16","US","2","okay",0
"16","US","5","bad",0
"16","US","1","amazing",0
"16","US","3","okay",1
"16","US","2","terrible",1
"16","US","4","bad",0
"16","US","3","amazing",0
"16","US","4","good",1
"16","US","2","bad",1
"16","US","5","okay",1
"16","US","1","terrible",1
"16","US","2","amazing",0
"16","US","5","terrible",0
"16","US","3","bad",0
"18","US","3","bad",0
"18","US","1","terrible",1
"18","US","3","okay",1
"18","US","5","amazing",1
"18","US","3","good",1
"18","US","2","amazing",0
"18","US","2","bad",1
"18","US","4","amazing",1
"18","US","5","okay",1
"18","US","4","terrible",0
"18","US","5","bad",0
"18","US","3","terrible",0
"18","US","1","amazing",0
"18","US","2","okay",0
"18","US","3","amazing",0
"18","US","1","good",0
"18","US","5","terrible",0
"18","US","5","good",1
"18","US","2","good",0
"18","US","1","okay",0
"18","US","1","bad",1
"18","US","4","okay",1
"18","US","4","bad",0
"18","US","2","terrible",1
"18","US","4","good",1
"20","US","4","good",1
"20","US","4","terrible",0
"20","US","5","bad",0
"20","US","5","okay",0
"20","US","3","amazing",0
"20","US","1","good",0
"20","US","5","amazing",1
"20","US","2","amazing",0
"20","US","2","okay",0
"20","US","5","terrible",0
"20","US","2","bad",1
"20","US","2","terrible",0
"20","US","1","bad",0
"20","US","2","good",0
"20","US","3","okay",1
"20","US","1","terrible",1
"20","US","3","bad",0
"20","US","3","good",1
"20","US","1","okay",0
"20","US","5","good",0
"20","US","1","amazing",0
"20","US","4","amazing",1
"20","US","4","okay",1
"20","US","3","terrible",0
"20","US","4","bad",0
"21","US","4","good",1
"21","US","4","amazing",0
"21","US","5","terrible",0
"21","US","2","good",0
"21","US","5","bad",0
"21","US","1","amazing",0
"21","US","2","bad",1
"21","US","1","okay",0
"21","US","3","okay",1
"21","US","4","bad",0
"21","US","3","amazing",0
"21","US","2","amazing",0
"21","US","1","terrible",1
"21","US","5","okay",0
"21","US","4","okay",0
"21","US","1","bad",1
"21","US","5","amazing",1
"21","US","2","terrible",1
"21","US","1","good",0
"21","US","2","okay",0
"21","US","4","terrible",0
"21","US","5","good",1
"21","US","3","terrible",0
"21","US","3","bad",0
"21","US","3","good",0
"23","US","2","amazing",0
"23","US","5","okay",0
"23","US","4","terrible",0
"23","US","4","okay",0
"23","US","1","bad",1
"23","US","2","terrible",1
"23","US","4","bad",0
"23","US","4","amazing",1
"23","US","5","good",1
"23","US","5","bad",0
"23","US","3","amazing",0
"23","US","5","terrible",0
"23","US","1","okay",0
"23","US","5","amazing",1
"23","US","3","terrible",0
"23","US","2","good",0
"23","US","4","good",1
"23","US","2","okay",0
"23","US","1","terrible",1
"23","US","1","good",0
"23","US","3","okay",1
"23","US","3","bad",0
"23","US","2","bad",1
"23","US","3","good",0
"23","US","1","amazing",0
"26","US","5","okay",0
"26","US","2","amazing",0
"26","US","2","terrible",1
"26","US","5","terrible",0
"26","US","4","okay",0
"26","US","3","good",1
"26","US","2","good",0
"26","US","4","amazing",1
"26","US","1","okay",0
"26","US","1","amazing",0
"26","US","1","terrible",1
"26","US","3","amazing",0
"26","US","5","good",1
"26","US","4","good",1
"26","US","3","terrible",0
"26","US","1","bad",1
"26","US","4","terrible",0
"26","US","2","bad",1
"26","US","3","okay",1
"26","US","1","good",0
"26","US","3","bad",0
"26","US","2","okay",0
"26","US","5","amazing",1
"26","US","4","bad",0
"26","US","5","bad",0
"27","US","4","terrible",0
"27","US","3","terrible",0
"27","US","3","amazing",0
"27","US","4","amazing",1
"27","US","1","bad",1
"27","US","5","terrible",0
"27","US","5","bad",0
"27","US","5","good",1
"27","US","4","bad",0
"27","US","2","good",0
"27","US","5","amazing",1
"27","US","2","amazing",0
"27","US","1","good",0
"27","US","3","good",0
"27","US","1","amazing",0
"27","US","4","good",1
"27","US","4","okay",1
"27","US","2","terrible",0
"27","US","2","okay",0
"27","US","2","bad",1
"27","US","3","bad",0
"27","US","1","okay",0
"27","US","3","okay",1
"27","US","5","okay",0
"27","US","1","terrible",1
"30","US","2","bad",1
"30","US","2","amazing",0
"30","US","4","okay",1
"30","US","1","amazing",0
"30","US","1","bad",1
"30","US","3","amazing",0
"30","US","5","terrible",0
"30","US","5","bad",0
"30","US","3","bad",0
"30","US","4","bad",0
"30","US","5","amazing",1
"30","US","2","good",0
"30","US","4","amazing",0
"30","US","1","good",0
"30","US","1","terrible",1
"30","US","3","terrible",0
"30","US","2","terrible",0
"30","US","3","okay",1
"30","US","2","okay",0
"30","US","5","good",1
"30","US","4","good",1
"30","US","3","good",1
"30","US","5","okay",0
"30","US","1","okay",0
"30","US","4","terrible",0
"32","US","1","terrible",0
"32","US","2","amazing",0
"32","US","4","amazing",1
"32","US","2","terrible",0
"32","US","2","bad",0
"32","US","4","bad",0
"32","US","3","amazing",1
"32","US","4","good",0
"32","US","2","good",1
"32","US","5","amazing",1
"32","US","5","good",1
"32","US","1","good",0
"32","US","1","bad",1
"32","US","1","amazing",0
"32","US","5","bad",0
"32","US","3","okay",1
"32","US","3","terrible",0
"32","US","1","okay",0
"32","US","4","terrible",0
"32","US","2","okay",1
"32","US","4","okay",1
"32","US","5","okay",1
"32","US","3","bad",0
"32","US","3","good",1
"32","US","5","terrible",0
"33","US","2","good",0
"33","US","3","terrible",0
"33","US","4","good",1
"33","US","2","bad",1
"33","US","2","terrible",1
"33","US","2","okay",1
"33","US","3","good",0
"33","US","5","bad",0
"33","US","3","amazing",0
"33","US","1","amazing",0
"33","US","5","terrible",0
"33","US","1","terrible",1
"33","US","4","terrible",0
"33","US","5","amazing",1
"33","US","4","bad",0
"33","US","5","good",1
"33","US","3","bad",0
"33","US","4","okay",1
"33","US","4","amazing",1
"33","US","1","good",0
"33","US","2","amazing",0
"33","US","3","okay",1
"33","US","5","okay",1
"33","US","1","okay",0
"33","US","1","bad",1
"34","US","4","good",1
"34","US","1","amazing",0
"34","US","2","terrible",0
"34","US","5","good",1
"34","US","1","good",0
"34","US","5","terrible",0
"34","US","3","bad",0
"34","US","1","bad",1
"34","US","5","bad",0
"34","US","4","amazing",0
"34","US","5","amazing",1
"34","US","2","good",0
"34","US","2","okay",1
"34","US","3","good",1
"34","US","5","okay",0
"34","US","1","terrible",1
"34","US","2","amazing",0
"34","US","3","okay",1
"34","US","4","terrible",0
"34","US","4","bad",0
"34","US","1","okay",0
"34","US","3","amazing",0
"34","US","3","terrible",0
"34","US","4","okay",0
"34","US","2","bad",1
"37","US","5","good",1
"37","US","4","amazing",1
"37","US","4","good",1
"37","US","5","amazing",1
"37","US","3","bad",0
"37","US","2","okay",0
"37","US","3","amazing",0
"37","US","2","good",0
"37","US","3","good",0
"37","US","3","terrible",0
"37","US","5","terrible",0
"37","US","1","terrible",1
"37","US","1","amazing",0
"37","US","3","okay",1
"37","US","1","good",0
"37","US","1","bad",1
"37","US","5","bad",0
"37","US","1","okay",0
"37","US","4","bad",0
"37","US","2","bad",1
"37","US","2","amazing",0
"37","US","2","terrible",1
"37","US","4","terrible",0
"37","US","5","okay",0
"37","US","4","okay",0
"38","US","4","bad",0
"38","US","5","terrible",0
"38","US","1","bad",1
"38","US","5","amazing",1
"38","US","1","amazing",0
"38","US","1","okay",0
"38","US","2","amazing",0
"38","US","2","good",0
"38","US","5","bad",0
"38","US","3","amazing",0
"38","US","5","okay",1
"38","US","3","good",1
"38","US","3","okay",1
"38","US","4","good",1
"38","US","3","terrible",0
"38","US","2","terrible",0
"38","US","4","amazing",0
"38","US","4","terrible",0
"38","US","2","okay",0
"38","US","3","bad",0
"38","US","1","terrible",1
"38","US","4","okay",1
"38","US","1","good",0
"38","US","2","bad",1
"38","US","5","good",1
"41","US","4","good",1
"41","US","4","okay",1
"41","US","5","amazing",1
"41","US","1","okay",0
"41","US","1","good",0
"41","US","3","terrible",0
"41","US","2","amazing",0
"41","US","2","good",0
"41","US","4","terrible",0
"41","US","5","terrible",0
"41","US","2","okay",0
