"subid","goal","true_state","utterance"
"3","both","2","not_okay"
"3","both","3","not_good"
"3","both","1","yes_bad"
"3","both","5","not_amazing"
"3","both","4","not_amazing"
"3","social","1","yes_terrible"
"3","social","4","not_good"
"3","social","2","yes_bad"
"3","social","5","yes_bad"
"3","social","3","yes_terrible"
"3","informative","4","yes_bad"
"3","informative","1","not_terrible"
"3","informative","2","not_bad"
"3","informative","5","yes_terrible"
"3","informative","3","not_okay"
"5","social","5","not_amazing"
"5","social","4","not_good"
"5","social","2","yes_bad"
"5","social","3","not_okay"
"5","social","1","yes_terrible"
"5","both","5","not_amazing"
"5","both","1","yes_bad"
"5","both","2","not_okay"
"5","both","4","not_good"
"5","both","3","not_okay"
"5","informative","2","not_bad"
"5","informative","4","not_good"
"5","informative","3","not_okay"
"5","informative","5","not_amazing"
"5","informative","1","not_terrible"
"7","social","2","not_okay"
"7","social","3","not_good"
"7","social","4","not_good"
"7","social","1","yes_terrible"
"7","social","5","not_amazing"
"7","both","5","not_amazing"
"7","both","3","not_good"
"7","both","2","not_okay"
"7","both","4","not_good"
"7","both","1","yes_terrible"
"7","informative","4","not_good"
"7","informative","3","not_okay"
"7","informative","1","not_bad"
"7","informative","2","yes_good"
"7","informative","5","not_amazing"
"11","both","1","yes_good"
"11","both","5","not_amazing"
"11","both","3","not_good"
"11","both","4","not_amazing"
"11","both","2","yes_bad"
"11","informative","4","not_amazing"
"11","informative","2","yes_terrible"
"11","informative","1","not_bad"
"11","informative","5","not_amazing"
"11","informative","3","not_good"
"11","social","2","yes_good"
"11","social","3","not_good"
"11","social","1","not_terrible"
"11","social","5","not_amazing"
"11","social","4","not_amazing"
"12","social","1","not_terrible"
"12","social","5","not_amazing"
"12","social","4","not_good"
"12","social","2","yes_bad"
"12","social","3","not_good"
"12","both","3","not_good"
"12","both","1","yes_terrible"
"12","both","5","not_amazing"
"12","both","4","not_amazing"
"12","both","2","yes_terrible"
"12","informative","1","yes_terrible"
"12","informative","2","not_okay"
"12","informative","3","not_good"
"12","informative","4","not_okay"
"12","informative","5","not_amazing"
"17","informative","2","yes_terrible"
"17","informative","5","not_amazing"
"17","informative","3","not_okay"
"17","informative","1","not_terrible"
"17","informative","4","not_good"
"17","social","3","not_amazing"
"17","social","1","not_terrible"
"17","social","2","not_bad"
"17","social","4","not_good"
"17","social","5","not_amazing"
"17","both","4","not_good"
"17","both","1","not_terrible"
"17","both","3","not_okay"
"17","both","2","yes_terrible"
"17","both","5","not_amazing"
"22","social","1","not_good"
"22","social","3","not_amazing"
"22","social","2","not_good"
"22","social","5","not_amazing"
"22","social","4","not_amazing"
"22","informative","5","not_amazing"
"22","informative","4","not_good"
"22","informative","3","not_okay"
"22","informative","2","not_bad"
"22","informative","1","not_terrible"
"22","both","3","yes_bad"
"22","both","5","not_amazing"
"22","both","1","yes_terrible"
"22","both","2","yes_terrible"
"22","both","4","not_good"
"28","social","2","not_good"
"28","social","5","not_amazing"
"28","social","4","not_good"
"28","social","1","yes_bad"
"28","social","3","not_good"
"28","both","3","not_okay"
"28","both","5","not_good"
"28","both","2","yes_terrible"
"28","both","1","yes_amazing"
"28","both","4","not_good"
"28","informative","2","not_bad"
"28","informative","4","not_good"
"28","informative","1","not_terrible"
"28","informative","3","not_okay"
"28","informative","5","not_amazing"
"32","both","5","not_amazing"
"32","both","2","not_okay"
"32","both","3","not_okay"
"32","both","1","yes_terrible"
"32","both","4","not_good"
"32","informative","3","not_good"
"32","informative","4","not_amazing"
"32","informative","5","not_amazing"
"32","informative","1","yes_terrible"
"32","informative","2","yes_bad"
"32","social","1","yes_terrible"
"32","social","5","not_amazing"
"32","social","3","not_amazing"
"32","social","4","not_amazing"
"32","social","2","not_good"
"33","social","1","not_terrible"
"33","social","5","not_amazing"
"33","social","2","not_okay"
"33","social","3","not_amazing"
"33","social","4","not_amazing"
"33","informative","1","yes_bad"
"33","informative","5","not_amazing"
"33","informative","3","not_okay"
"33","informative","4","not_amazing"
"33","informative","2","not_bad"
"33","both","5","yes_amazing"
"33","both","2","not_good"
"33","both","1","not_okay"
"33","both","4","not_amazing"
"33","both","3","not_amazing"
"38","social","5","not_amazing"
"38","social","1","yes_terrible"
"38","social","2","not_okay"
"38","social","4","not_good"
"38","social","3","not_okay"
"38","informative","5","not_amazing"
"38","informative","4","not_good"
"38","informative","3","not_okay"
"38","informative","1","yes_good"
"38","informative","2","yes_good"
"38","both","2","not_okay"
"38","both","4","not_good"
"38","both","1","yes_terrible"
"38","both","5","not_amazing"
"38","both","3","not_good"
"41","informative","5","not_okay"
"41","informative","1","not_okay"
"41","informative","2","not_good"
"41","informative","3","not_okay"
"41","informative","4","not_good"
"41","both","5","not_good"
"41","both","1","not_okay"
"41","both","3","not_good"
"41","both","4","not_amazing"
"41","both","2","not_amazing"
"41","social","3","not_okay"
"41","social","2","yes_amazing"
"41","social","4","not_amazing"
"41","social","1","not_good"
"41","social","5","not_good"
"45","social","1","not_good"
"45","social","3","not_good"
"45","social","2","not_good"
"45","social","4","not_amazing"
"45","social","5","not_amazing"
"45","informative","4","not_amazing"
"45","informative","2","not_good"
"45","informative","1","not_good"
"45","informative","3","not_good"
"45","informative","5","not_amazing"
"45","both","5","not_amazing"
"45","both","3","not_good"
"45","both","4","not_amazing"
"45","both","2","not_good"
"45","both","1","yes_bad"
"46","informative","5","not_amazing"
"46","informative","1","not_bad"
"46","informative","2","yes_good"
"46","informative","3","not_okay"
"46","informative","4","not_good"
"46","both","2","not_okay"
"46","both","3","not_good"
"46","both","1","yes_amazing"
"46","both","4","not_good"
"46","both","5","not_amazing"
"46","social","2","not_amazing"
"46","social","4","not_amazing"
"46","social","1","not_amazing"
"46","social","5","not_amazing"
"46","social","3","not_amazing"
"50","social","4","not_good"
"50","social","1","yes_bad"
"50","social","3","not_good"
"50","social","2","not_good"
"50","social","5","not_amazing"
"50","both","4","not_good"
"50","both","3","not_good"
"50","both","5","not_amazing"
"50","both","2","yes_bad"
"50","both","1","yes_bad"
"50","informative","5","not_amazing"
"50","informative","4","not_good"
"50","informative","1","yes_amazing"
"50","informative","3","not_okay"
"50","informative","2","yes_bad"
"54","social","5","not_amazing"
"54","social","2","not_good"
"54","social","1","not_good"
"54","social","3","not_good"
"54","social","4","not_good"
"54","informative","5","yes_bad"
"54","informative","3","yes_terrible"
"54","informative","1","yes_terrible"
"54","informative","2","not_okay"
"54","informative","4","yes_bad"
"54","both","4","not_good"
"54","both","5","not_amazing"
"54","both","3","not_okay"
"54","both","1","not_terrible"
"54","both","2","not_bad"
"56","both","2","not_okay"
"56","both","3","not_okay"
"56","both","5","not_amazing"
"56","both","1","not_bad"
"56","both","4","not_good"
"56","social","3","not_okay"
"56","social","5","not_amazing"
"56","social","2","yes_bad"
"56","social","4","not_good"
"56","social","1","yes_amazing"
"56","informative","5","not_amazing"
"56","informative","4","not_good"
"56","informative","2","yes_terrible"
"56","informative","1","not_terrible"
"56","informative","3","not_okay"
"57","informative","3","not_okay"
"57","informative","5","not_amazing"
"57","informative","2","not_bad"
"57","informative","4","not_bad"
"57","informative","1","not_good"
"57","both","2","not_okay"
"57","both","5","not_amazing"
"57","both","3","not_okay"
"57","both","4","yes_bad"
"57","both","1","not_okay"
"57","social","3","not_good"
"57","social","1","not_terrible"
"57","social","2","not_bad"
"57","social","4","not_good"
"57","social","5","not_good"
"58","informative","4","not_good"
"58","informative","5","not_amazing"
"58","informative","2","yes_terrible"
"58","informative","1","not_bad"
"58","informative","3","not_okay"
"58","social","4","not_good"
"58","social","2","yes_bad"
"58","social","1","not_bad"
"58","social","3","not_okay"
"58","social","5","not_amazing"
"58","both","3","not_okay"
"58","both","2","yes_bad"
"58","both","4","not_good"
"58","both","1","yes_terrible"
"58","both","5","not_amazing"
"62","social","4","not_amazing"
"62","social","5","not_amazing"
"62","social","1","not_good"
"62","social","3","not_good"
"62","social","2","not_good"
"62","both","5","not_amazing"
"62","both","2","yes_bad"
"62","both","4","not_good"
"62","both","3","not_good"
"62","both","1","yes_terrible"
"62","informative","5","not_amazing"
