"site","utterance","goal","state","subid"
"US","okay","mean",2,"13"
"US","okay","honest",3,"13"
"US","good","mean",2,"13"
"US","amazing","nice",3,"13"
"US","terrible","honest",1,"13"
"US","amazing","mean",2,"13"
"US","amazing","honest",4,"13"
"US","good","honest",4,"13"
"US","terrible","mean",1,"13"
"US","bad","mean",1,"13"
"US","good","nice",4,"13"
"US","bad","honest",1,"13"
"US","bad","nice",1,"13"
"US","terrible","nice",2,"13"
"US","okay","nice",3,"13"
"US","good","honest",5,"16"
"US","amazing","honest",4,"16"
"US","bad","mean",3,"16"
"US","okay","honest",4,"16"
"US","amazing","nice",2,"16"
"US","okay","nice",1,"16"
"US","amazing","mean",1,"16"
"US","terrible","mean",5,"16"
"US","good","mean",1,"16"
"US","terrible","nice",1,"16"
"US","okay","mean",3,"16"
"US","bad","nice",2,"16"
"US","terrible","honest",5,"16"
"US","good","nice",2,"16"
"US","bad","honest",5,"16"
"US","amazing","mean",1,"17"
"US","amazing","nice",1,"17"
"US","terrible","mean",5,"17"
"US","bad","nice",1,"17"
"US","okay","honest",3,"17"
"US","bad","honest",1,"17"
"US","bad","mean",5,"17"
"US","good","honest",5,"17"
"US","okay","nice",1,"17"
"US","good","mean",1,"17"
"US","good","nice",1,"17"
"US","terrible","honest",1,"17"
"US","amazing","honest",5,"17"
"US","terrible","nice",1,"17"
"US","okay","mean",1,"17"
"US","amazing","mean",1,"18"
"US","bad","mean",1,"18"
"US","amazing","nice",3,"18"
"US","good","honest",3,"18"
"US","amazing","honest",5,"18"
"US","bad","nice",1,"18"
"US","okay","mean",5,"18"
"US","okay","nice",1,"18"
"US","terrible","honest",1,"18"
"US","terrible","nice",1,"18"
"US","bad","honest",1,"18"
"US","terrible","mean",5,"18"
"US","good","nice",1,"18"
"US","okay","honest",3,"18"
"US","good","mean",5,"18"
"US","bad","honest",1,"20"
"US","good","honest",3,"20"
"US","bad","nice",1,"20"
"US","bad","mean",1,"20"
"US","amazing","nice",5,"20"
"US","terrible","mean",1,"20"
"US","terrible","honest",1,"20"
"US","good","nice",2,"20"
"US","good","mean",1,"20"
"US","okay","honest",3,"20"
"US","okay","mean",5,"20"
"US","okay","nice",2,"20"
"US","amazing","mean",3,"20"
"US","amazing","honest",5,"20"
"US","terrible","nice",1,"20"
"US","amazing","mean",5,"21"
"US","amazing","honest",5,"21"
"US","bad","mean",3,"21"
"US","bad","honest",2,"21"
"US","terrible","mean",2,"21"
"US","good","honest",4,"21"
"US","okay","honest",3,"21"
"US","amazing","nice",4,"21"
"US","terrible","honest",1,"21"
"US","bad","nice",1,"21"
"US","okay","mean",4,"21"
"US","good","nice",3,"21"
"US","okay","nice",2,"21"
"US","terrible","nice",1,"21"
"US","good","mean",5,"21"
"US","good","honest",5,"22"
"US","good","nice",1,"22"
"US","good","mean",2,"22"
"US","bad","nice",1,"22"
"US","terrible","nice",1,"22"
"US","okay","honest",3,"22"
"US","amazing","mean",1,"22"
"US","bad","mean",3,"22"
"US","okay","nice",1,"22"
"US","terrible","honest",1,"22"
"US","okay","mean",5,"22"
"US","terrible","mean",3,"22"
"US","amazing","nice",2,"22"
"US","amazing","honest",5,"22"
"US","bad","honest",1,"22"
"US","terrible","mean",3,"25"
"US","bad","mean",4,"25"
"US","bad","honest",1,"25"
"US","terrible","honest",1,"25"
"US","okay","honest",3,"25"
"US","okay","nice",2,"25"
"US","amazing","honest",5,"25"
"US","amazing","mean",1,"25"
"US","good","nice",2,"25"
"US","good","mean",1,"25"
"US","bad","nice",1,"25"
"US","good","honest",4,"25"
"US","terrible","nice",1,"25"
"US","amazing","nice",4,"25"
"US","okay","mean",5,"25"
"US","good","honest",4,"27"
"US","bad","nice",2,"27"
"US","bad","honest",2,"27"
"US","okay","honest",3,"27"
"US","terrible","mean",3,"27"
"US","bad","mean",3,"27"
"US","okay","nice",3,"27"
"US","good","mean",1,"27"
"US","terrible","honest",2,"27"
"US","amazing","nice",4,"27"
"US","good","nice",4,"27"
"US","amazing","honest",5,"27"
"US","terrible","nice",2,"27"
"US","okay","mean",2,"27"
"US","amazing","mean",1,"27"
"US","terrible","mean",4,"28"
"US","good","honest",1,"28"
"US","okay","honest",2,"28"
"US","terrible","nice",1,"28"
"US","terrible","honest",1,"28"
"US","good","mean",1,"28"
"US","okay","mean",1,"28"
"US","okay","nice",1,"28"
"US","bad","mean",1,"28"
"US","good","nice",3,"28"
"US","amazing","mean",2,"28"
"US","bad","honest",1,"28"
"US","bad","nice",1,"28"
"US","amazing","honest",5,"28"
"US","amazing","nice",4,"28"
