"","score","utterance","polite","prob","cih","cil"
"1","0","bad","baseline",0.726388888888889,0.108472222222222,0.120833333333333
"2","1","bad","baseline",0.758333333333333,0.0986111111111111,0.116736111111111
"3","2","bad","baseline",0.713888888888889,0.0875,0.104166666666667
"4","3","bad","baseline",0.601388888888889,0.104166666666667,0.0972569444444444
"5","4","bad","baseline",0.559722222222222,0.0972222222222222,0.0930902777777778
"6","5","bad","baseline",0.440277777777778,0.123645833333333,0.112569444444444
"7","6","bad","baseline",0.338888888888889,0.138923611111111,0.129166666666667
"8","7","bad","baseline",0.243055555555556,0.136111111111111,0.126388888888889
"9","8","bad","baseline",0.220833333333333,0.154201388888889,0.134722222222222
"10","9","bad","baseline",0.151388888888889,0.130659722222222,0.102777777777778
"11","0","great","baseline",0.159722222222222,0.150069444444444,0.108368055555556
"12","1","great","baseline",0.179166666666667,0.1528125,0.108333333333333
"13","2","great","baseline",0.209722222222222,0.126423611111111,0.119479166666667
"14","3","great","baseline",0.272222222222222,0.147326388888889,0.129201388888889
"15","4","great","baseline",0.320833333333333,0.144444444444444,0.145868055555556
"16","5","great","baseline",0.397222222222222,0.136111111111111,0.129270833333333
"17","6","great","baseline",0.465277777777778,0.122222222222222,0.112534722222222
"18","7","great","baseline",0.618055555555556,0.0736111111111111,0.0777777777777778
"19","8","great","baseline",0.783333333333333,0.0458333333333333,0.0555555555555556
"20","9","great","baseline",0.831944444444444,0.0638888888888889,0.0708333333333334
"21","0","not_bad","baseline",0.188888888888889,0.0875,0.0819444444444444
"22","1","not_bad","baseline",0.2375,0.0833333333333334,0.0833680555555555
"23","2","not_bad","baseline",0.268055555555556,0.0888888888888889,0.0861111111111111
"24","3","not_bad","baseline",0.361111111111111,0.0903125,0.0861111111111111
"25","4","not_bad","baseline",0.502777777777778,0.0888888888888889,0.0972569444444444
"26","5","not_bad","baseline",0.593055555555556,0.0833333333333334,0.0792013888888889
"27","6","not_bad","baseline",0.591666666666667,0.0847222222222223,0.0861111111111111
"28","7","not_bad","baseline",0.590277777777778,0.0930902777777778,0.0805555555555556
"29","8","not_bad","baseline",0.506944444444444,0.105590277777778,0.0903125
"30","9","not_bad","baseline",0.325,0.105590277777778,0.0972916666666667
"31","0","not_great","baseline",0.558333333333333,0.104201388888889,0.113888888888889
"32","1","not_great","baseline",0.613888888888889,0.109791666666667,0.118055555555556
"33","2","not_great","baseline",0.695833333333333,0.0875347222222222,0.0986805555555555
"34","3","not_great","baseline",0.666666666666667,0.0847222222222223,0.0959027777777778
"35","4","not_great","baseline",0.588888888888889,0.0750347222222221,0.0722222222222222
"36","5","not_great","baseline",0.527777777777778,0.0930902777777778,0.0889236111111111
"37","6","not_great","baseline",0.368055555555556,0.105590277777778,0.0986458333333334
"38","7","not_great","baseline",0.251388888888889,0.0638888888888889,0.0680902777777778
"39","8","not_great","baseline",0.168055555555556,0.0680555555555556,0.0611458333333333
"40","9","not_great","baseline",0.101388888888889,0.0708680555555555,0.0583333333333333
"41","0","bad","polite",0.741666666666667,0.121708333333333,0.136666666666667
"42","1","bad","polite",0.743333333333333,0.103375,0.121666666666667
"43","2","bad","polite",0.73,0.095,0.1
"44","3","bad","polite",0.593333333333333,0.0816666666666667,0.101666666666667
"45","4","bad","polite",0.478333333333333,0.103333333333333,0.110083333333333
"46","5","bad","polite",0.41,0.130083333333333,0.135
"47","6","bad","polite",0.315,0.118416666666667,0.12
"48","7","bad","polite",0.233333333333333,0.101666666666667,0.0916666666666667
"49","8","bad","polite",0.131666666666667,0.095,0.0683333333333333
"50","9","bad","polite",0.095,0.098375,0.0633333333333333
"51","0","great","polite",0.195,0.095,0.0866666666666667
"52","1","great","polite",0.243333333333333,0.093375,0.0783333333333333
"53","2","great","polite",0.323333333333333,0.101708333333333,0.0983333333333334
"54","3","great","polite",0.406666666666667,0.100041666666667,0.103375
"55","4","great","polite",0.491666666666667,0.118333333333333,0.133375
"56","5","great","polite",0.573333333333333,0.0983333333333334,0.123375
"57","6","great","polite",0.606666666666667,0.101708333333333,0.121708333333333
"58","7","great","polite",0.646666666666667,0.0816666666666667,0.0933750000000001
"59","8","great","polite",0.608333333333333,0.085,0.0816666666666668
"60","9","great","polite",0.536666666666667,0.103375,0.108333333333333
"61","0","not_bad","polite",0.295,0.115041666666667,0.101708333333333
"62","1","not_bad","polite",0.381666666666667,0.108375,0.103333333333333
"63","2","not_bad","polite",0.488333333333333,0.0983333333333333,0.0983333333333333
"64","3","not_bad","polite",0.563333333333333,0.0833749999999999,0.095
"65","4","not_bad","polite",0.57,0.11,0.106666666666667
"66","5","not_bad","polite",0.593333333333333,0.11675,0.111666666666667
"67","6","not_bad","polite",0.54,0.141666666666667,0.12
"68","7","not_bad","polite",0.405,0.113375,0.115041666666667
"69","8","not_bad","polite",0.32,0.135125,0.118333333333333
"70","9","not_bad","polite",0.276666666666667,0.145041666666667,0.135
"71","0","not_great","polite",0.518333333333333,0.188416666666667,0.193375
"72","1","not_great","polite",0.603333333333333,0.151666666666667,0.160083333333333
"73","2","not_great","polite",0.643333333333333,0.118333333333333,0.146708333333333
"74","3","not_great","polite",0.65,0.0933333333333333,0.103333333333333
"75","4","not_great","polite",0.61,0.0683333333333334,0.0817083333333334
"76","5","not_great","polite",0.555,0.0883333333333333,0.101666666666667
"77","6","not_great","polite",0.418333333333333,0.101666666666667,0.098375
"78","7","not_great","polite",0.285,0.123333333333333,0.103375
"79","8","not_great","polite",0.218333333333333,0.120041666666667,0.105
"80","9","not_great","polite",0.138333333333333,0.15,0.0900416666666667
"81","0","bad","impolite",0.63125,0.139583333333333,0.139635416666667
"82","1","bad","impolite",0.6875,0.133385416666667,0.129166666666667
"83","2","bad","impolite",0.65,0.114583333333333,0.116666666666667
"84","3","bad","impolite",0.622916666666667,0.0833333333333334,0.0750000000000001
"85","4","bad","impolite",0.554166666666667,0.110416666666667,0.129166666666667
"86","5","bad","impolite",0.46875,0.12921875,0.139583333333333
"87","6","bad","impolite",0.416666666666667,0.133385416666667,0.152083333333333
"88","7","bad","impolite",0.341666666666667,0.129166666666667,0.135572916666667
"89","8","bad","impolite",0.308333333333333,0.156302083333333,0.14375
"90","9","bad","impolite",0.279166666666667,0.16046875,0.150052083333333
"91","0","great","impolite",0.2125,0.15421875,0.13125
"92","1","great","impolite",0.25,0.15421875,0.14796875
"93","2","great","impolite",0.28125,0.133333333333333,0.135416666666667
