,score,utterance,polite,prob
1,0,bad,baseline,0.2309
2,1,bad,baseline,0.2489
3,2,bad,baseline,0.2914
4,3,bad,baseline,0.0383
5,4,bad,baseline,0.0388
6,5,bad,baseline,0.0403
7,6,bad,baseline,0.0371
8,7,bad,baseline,0.0330
9,8,bad,baseline,0.0249
10,9,bad,baseline,0.0164
11,0,great,baseline,0.0055
12,1,great,baseline,0.0084
13,2,great,baseline,0.0130
14,3,great,baseline,0.0177
15,4,great,baseline,0.0243
16,5,great,baseline,0.0338
17,6,great,baseline,0.0421
18,7,great,baseline,0.0514
19,8,great,baseline,0.4142
20,9,great,baseline,0.3896
21,0,not_bad,baseline,0.0089
22,1,not_bad,baseline,0.0102
23,2,not_bad,baseline,0.0129
24,3,not_bad,baseline,0.1118
25,4,not_bad,baseline,0.1293
26,5,not_bad,baseline,0.1564
27,6,not_bad,baseline,0.1719
28,7,not_bad,baseline,0.1887
29,8,not_bad,baseline,0.1081
30,9,not_bad,baseline,0.1016
31,0,not_great,baseline,0.0433
32,1,not_great,baseline,0.0468
33,2,not_great,baseline,0.0551
34,3,not_great,baseline,0.1226
35,4,not_great,baseline,0.1401
36,5,not_great,baseline,0.1674
37,6,not_great,baseline,0.1817
38,7,not_great,baseline,0.1972
39,8,not_great,baseline,0.0242
40,9,not_great,baseline,0.0216
41,0,bad,polite,0.1805
42,1,bad,polite,0.1914
43,2,bad,polite,0.2198
44,3,bad,polite,0.0684
45,4,bad,polite,0.0692
46,5,bad,polite,0.0719
47,6,bad,polite,0.0662
48,7,bad,polite,0.0589
49,8,bad,polite,0.0445
50,9,bad,polite,0.0293
51,0,great,polite,0.0102
52,1,great,polite,0.0155
53,2,great,polite,0.0242
54,3,great,polite,0.0329
55,4,great,polite,0.0450
56,5,great,polite,0.0628
57,6,great,polite,0.0780
58,7,great,polite,0.0954
59,8,great,polite,0.3250
60,9,great,polite,0.3111
61,0,not_bad,polite,0.0188
62,1,not_bad,polite,0.0218
63,2,not_bad,polite,0.0275
64,3,not_bad,polite,0.1005
65,4,not_bad,polite,0.1175
66,5,not_bad,polite,0.1435
67,6,not_bad,polite,0.1592
68,7,not_bad,polite,0.1765
69,8,not_bad,polite,0.1203
70,9,not_bad,polite,0.1144
71,0,not_great,polite,0.0504
72,1,not_great,polite,0.0542
73,2,not_great,polite,0.0632
74,3,not_great,polite,0.1129
75,4,not_great,polite,0.1282
76,5,not_great,polite,0.1522
77,6,not_great,polite,0.1642
78,7,not_great,polite,0.1770
79,8,not_great,polite,0.0516
80,9,not_great,polite,0.0461
81,0,bad,impolite,0.2952
82,1,bad,impolite,0.3223
83,2,bad,impolite,0.3825
84,3,bad,impolite,0.0000
85,4,bad,impolite,0.0000
86,5,bad,impolite,0.0000
87,6,bad,impolite,0.0000
88,7,bad,impolite,0.0000
89,8,bad,impolite,0.0000
90,9,bad,impolite,0.0000
91,0,great,impolite,0.0000
92,1,great,impolite,0.0000
93,2,great,impolite,0.0000
94,3,great,impolite,0.0000
95,4,great,impolite,0.0000
96,5,great,impolite,0.0000
97,6,great,impolite,0.0000
98,7,great,impolite,0.0000
99,8,great,impolite,0.5186
100,9,great,impolite,0.4814
101,0,not_bad,impolite,0.0000
102,1,not_bad,impolite,0.0000
103,2,not_bad,impolite,0.0000
104,3,not_bad,impolite,0.1218
105,4,not_bad,impolite,0.1399
106,5,not_bad,impolite,0.1679
107,6,not_bad,impolite,0.1831
108,7,not_bad,impolite,0.1996
109,8,not_bad,impolite,0.0973
110,9,not_bad,impolite,0.0903
111,0,not_great,impolite,0.0370
112,1,not_great,impolite,0.0404
113,2,not_great,impolite,0.0479
114,3,not_great,impolite,0.1312
115,4,not_great,impolite,0.1506
116,5,not_great,impolite,0.1808
117,6,not_great,impolite,0.1972
118,7,not_great,impolite,0.2149
119,8,not_great,impolite,0.0000
120,9,not_great,impolite,0.0000
