"MAP","cred_low","cred_upper","site","state","utterance"
0.12044543597665,0.0356839913874865,0.241912056226283,"India","1","amazing"
0.7953059560478,0.627211843151599,0.894493686500937,"India","1","bad"
0.0541712601071065,0.0104619744233787,0.176058078184724,"India","1","good"
0.0926509034235702,0.0267401360906661,0.211344053503126,"India","1","okay"
0.739059414430092,0.600317001109943,0.887759878765792,"India","1","terrible"
0.130528812196837,0.0584547373000532,0.286455375375226,"India","2","amazing"
0.762862123769516,0.609572679968551,0.874601560411975,"India","2","bad"
0.140099263581787,0.0538894701749086,0.300667600007728,"India","2","good"
0.419208297549082,0.275516136083752,0.601387926144525,"India","2","okay"
0.59743653077788,0.413305150810629,0.729357955045998,"India","2","terrible"
0.347368365717996,0.21582578192465,0.519476298708469,"India","3","amazing"
0.11875894188317,0.0467644366435707,0.259350282838568,"India","3","bad"
0.721933283339,0.576618600636721,0.848491891287267,"India","3","good"
0.908367959963892,0.790621006861329,0.981790478341281,"India","3","okay"
0.12577797162363,0.0444746194407344,0.26324378233403,"India","3","terrible"
0.79132331563396,0.631870767334476,0.892165190307423,"India","4","amazing"
0.14633741623298,0.0676293501164764,0.306610313476995,"India","4","bad"
0.969509007173494,0.865600137738511,0.996785007417202,"India","4","good"
0.677108381469887,0.509907443076372,0.823027150705457,"India","4","okay"
0.247231033689812,0.124615068780258,0.401711642043665,"India","4","terrible"
0.969264880802673,0.868734626565129,0.99838969251141,"India","5","amazing"
0.0836476082494614,0.021992398891598,0.215466694440693,"India","5","bad"
0.894462173062231,0.756165604107082,0.966675789561123,"India","5","good"
0.614698808092575,0.410782363498583,0.733133792178705,"India","5","okay"
0.241421305105718,0.107801128644496,0.374664143426344,"India","5","terrible"
0.0511589464220074,0.00252755801193416,0.168539446312934,"Korea","1","amazing"
0.737836276786442,0.575912034371868,0.890225219540298,"Korea","1","bad"
0.0769945022084888,0.0159997041337192,0.244165655225515,"Korea","1","good"
0.0867440939654314,0.0228361021727324,0.228704826207832,"Korea","1","okay"
0.72315471533868,0.519824702525511,0.847671881318092,"Korea","1","terrible"
0.0831862564251138,0.0169021305628121,0.24997200537473,"Korea","2","amazing"
0.606959203719435,0.424038874451071,0.768142251763493,"Korea","2","bad"
0.0489879248328986,0.000710317865014076,0.171207043575123,"Korea","2","good"
0.182137504455806,0.0607520008925349,0.32270674337633,"Korea","2","okay"
0.258095346487168,0.113748870790005,0.4404037441127,"Korea","2","terrible"
0.219656632155415,0.091110389214009,0.386668010149151,"Korea","3","amazing"
0.101845560227204,0.0284694638103247,0.272648444399238,"Korea","3","bad"
0.608784655019124,0.453256569104269,0.79587063123472,"Korea","3","good"
0.87361003549971,0.6952125641983,0.955721187638119,"Korea","3","okay"
0.0342054177674311,0.00127437943592668,0.174906472209841,"Korea","3","terrible"
0.716962718113809,0.522409355035052,0.8537027745042,"Korea","4","amazing"
0.0094864900735687,0.0000314363278448582,0.108316019643098,"Korea","4","bad"
0.875825222633114,0.710566616151482,0.96384916943498,"Korea","4","good"
0.773669846338842,0.57750940695405,0.897811874980107,"Korea","4","okay"
0.0441129595860877,0.00519425817765296,0.171453843591735,"Korea","4","terrible"
0.989048391454588,0.894079129910097,0.999720470746979,"Korea","5","amazing"
0.0836203540119648,0.00931505160406232,0.239463082514703,"Korea","5","bad"
0.824928383696171,0.672265305416659,0.932745468569919,"Korea","5","good"
0.648365490701454,0.462225245311856,0.802072077756748,"Korea","5","okay"
0.0812778102744492,0.0174378247465938,0.230681353481486,"Korea","5","terrible"
0.0337168698429639,0.00197066320106387,0.152422840939835,"US","1","amazing"
0.859957437153417,0.726871753344312,0.962108897510916,"US","1","bad"
0.037809938150375,0.00429047574289143,0.145319368224591,"US","1","good"
0.00891029262714069,0.0000140964984893799,0.0956435301341116,"US","1","okay"
0.931392904401117,0.814601629972458,0.985560043714941,"US","1","terrible"
0.00787901162649322,0.0000411486253142357,0.0915003537666053,"US","2","amazing"
0.871265115861955,0.716063330415636,0.957133826799691,"US","2","bad"
0.0667512928626786,0.0162309657316655,0.184550906298682,"US","2","good"
0.261710997548613,0.14732460398227,0.420473597478122,"US","2","okay"
0.373093261305741,0.213022792944685,0.531180723570287,"US","2","terrible"
0.0661019692002995,0.0120337158441544,0.189841993385926,"US","3","amazing"
0.0405488761774736,0.00467145466245711,0.152034932980314,"US","3","bad"
0.549846689722726,0.394684372702613,0.7238646869082,"US","3","good"
0.991360709940334,0.905462601222098,0.999994450481609,"US","3","okay"
0.0369219390686177,0.00249234214425087,0.136097941081971,"US","3","terrible"
0.624966133673299,0.467453369637951,0.797151515260339,"US","4","amazing"
0.0636384498472038,0.0104125484358519,0.192555897403508,"US","4","bad"
0.958150388938676,0.852561282459646,0.998942247126251,"US","4","good"
0.591812279600634,0.429706757422537,0.764068337390199,"US","4","okay"
0.00934187590497754,0.000185093842446804,0.0880034808069468,"US","4","terrible"
0.992206508566574,0.910342396935448,0.999970434932038,"US","5","amazing"
0.0305854828867291,0.000781960319727659,0.147858343552798,"US","5","bad"
0.92514930075959,0.808589179068804,0.987434669164941,"US","5","good"
0.376278832821737,0.208769700257108,0.552251688903198,"US","5","okay"
0.0323982139055378,0.00139993871562183,0.139373257989064,"US","5","terrible"
