"subid","trial","utterance","predicted_state"
"1",1,"terrible",1
"1",2,"bad",1
"1",3,"good",4
"1",4,"bad",1
"1",5,"terrible",1
"1",6,"amazing",5
"1",7,"okay",2
"1",8,"okay",3
"1",9,"terrible",1
"1",10,"amazing",5
"1",11,"good",4
"1",12,"okay",3
"1",13,"amazing",5
"1",14,"good",3
"1",15,"bad",1
"2",1,"bad",1
"2",2,"terrible",1
"2",3,"okay",3
"2",4,"good",4
"2",5,"good",4
"2",6,"amazing",5
"2",7,"terrible",1
"2",8,"okay",3
"2",9,"okay",3
"2",10,"good",4
"2",11,"bad",2
"2",12,"amazing",5
"2",13,"amazing",5
"2",14,"terrible",1
"2",15,"bad",2
"3",1,"okay",2
"3",2,"amazing",4
"3",3,"bad",1
"3",4,"okay",2
"3",5,"okay",2
"3",6,"amazing",4
"3",7,"good",3
"3",8,"terrible",1
"3",9,"bad",1
"3",10,"terrible",1
"3",11,"bad",1
"3",12,"good",3
"3",13,"terrible",1
"3",14,"amazing",4
"3",15,"good",3
"4",1,"good",2
"4",2,"terrible",2
"4",3,"bad",1
"4",4,"amazing",3
"4",5,"terrible",1
"4",6,"terrible",2
"4",7,"okay",2
"4",8,"amazing",4
"4",9,"okay",3
"4",10,"amazing",4
"4",11,"bad",2
"4",12,"okay",2
"4",13,"good",3
"4",14,"good",3
"4",15,"bad",3
"5",1,"amazing",3
"5",2,"terrible",1
"5",3,"okay",2
"5",4,"amazing",5
"5",5,"good",2
"5",6,"terrible",1
"5",7,"okay",2
"5",8,"terrible",1
"5",9,"okay",2
"5",10,"bad",1
"5",11,"good",2
"5",12,"good",2
"5",13,"bad",1
"5",14,"bad",1
"5",15,"amazing",3
"6",1,"good",3
"6",2,"okay",2
"6",3,"amazing",5
"6",4,"okay",3
"6",5,"bad",1
"6",6,"terrible",1
"6",7,"amazing",5
"6",8,"okay",3
"6",9,"good",3
"6",10,"good",4
"6",11,"terrible",1
"6",12,"terrible",1
"6",13,"amazing",5
"6",14,"bad",1
"6",15,"bad",1
"7",1,"amazing",4
"7",2,"okay",2
"7",3,"bad",1
"7",4,"amazing",4
"7",5,"good",3
"7",6,"okay",2
"7",7,"terrible",1
"7",8,"good",3
"7",9,"amazing",4
"7",10,"terrible",1
"7",11,"good",3
"7",12,"okay",2
"7",13,"bad",1
"7",14,"terrible",1
"7",15,"bad",1
"8",1,"terrible",1
"8",2,"bad",1
"8",3,"bad",1
"8",4,"amazing",5
"8",5,"terrible",1
"8",6,"good",3
"8",7,"okay",3
"8",8,"okay",3
"8",9,"good",4
"8",10,"good",3
"8",11,"bad",1
"8",12,"amazing",5
"8",13,"okay",3
"8",14,"amazing",5
"8",15,"terrible",1
"9",1,"amazing",5
"9",2,"amazing",4
"9",3,"okay",5
"9",4,"bad",5
"9",5,"good",3
"9",6,"bad",5
"9",7,"good",3
"9",8,"good",3
"9",9,"okay",5
"9",10,"amazing",2
"9",11,"terrible",5
"9",12,"terrible",5
"9",13,"bad",5
"9",14,"okay",5
"9",15,"terrible",5
"10",1,"okay",2
"10",2,"okay",2
"10",3,"amazing",4
"10",4,"amazing",4
"10",5,"good",3
"10",6,"amazing",4
"10",7,"okay",2
"10",8,"bad",1
"10",9,"terrible",1
"10",10,"good",3
"10",11,"bad",1
"10",12,"terrible",1
"10",13,"good",3
"10",14,"terrible",1
"10",15,"bad",1
"11",1,"terrible",1
"11",2,"bad",2
"11",3,"good",4
"11",4,"okay",3
"11",5,"bad",2
"11",6,"okay",3
"11",7,"okay",2
"11",8,"good",3
"11",9,"amazing",5
"11",10,"terrible",1
"11",11,"amazing",5
"11",12,"bad",2
"11",13,"terrible",1
"11",14,"amazing",5
"11",15,"good",4
"12",1,"good",5
"12",2,"bad",2
"12",3,"terrible",2
"12",4,"okay",4
"12",5,"terrible",2
"12",6,"okay",3
"12",7,"amazing",5
"12",8,"bad",4
"12",9,"bad",4
"12",10,"good",5
"12",11,"amazing",5
"12",12,"good",2
"12",13,"terrible",2
"12",14,"okay",3
"12",15,"amazing",5
"13",1,"terrible",1
"13",2,"okay",2
"13",3,"amazing",5
"13",4,"bad",1
"13",5,"amazing",3
"13",6,"amazing",4
"13",7,"good",3
